OBJEKT ID,OBJEKT Inventarnummer,OBJEKT Sammlung,klassifikation,webtext,datierung,herstellung,herkunft,OBJEKT -> Inhalt,OBJEKT -> Masse,OBJEKT -> Material und Technik
191352,LM-5231.1-2,Wagen und Schlitten,Herrenschlitten,"Schlittenkasten in Form eines Löwen. 1700 - 1800. 146 x 267 x 101,5 cm. geschnitzt, bemalt. ",1700 - 1800  ,,,,"Höhe 146 cm, Länge 267 cm, Breite 101.5 cm.","geschnitzt, bemalt."
191365,LM-5494,Wagen und Schlitten,Schlitten,"Mit floralen Motiven. 1750 - 1800. Herkunft: Graubünden. 140 x 240 x 70 cm. Holz, bemalt. ",1750 - 1800  ,,  ,,"Höhe 140 cm, Länge 240 cm, Breite 70 cm.","Holz, bemalt."
191370,LM-5707.1-3,Wagen und Schlitten,Herrenschlitten,"Mit Inschriften haltendem Putto, Monogramm H.M., Sitz bunt gemustert. Keine Datumsangabe. bemalt. ", ,,,,,bemalt.
191545,LM-6703,Wagen und Schlitten,Kinderschlitten,"Mit Engeln, Blumen und Himmel mit Sternen bemalt. 1700 - 1800. 87,5 x 93 x 27 cm. geschnitzt, bemalt. ",1700 - 1800  ,,,,"Höhe 87.5 cm, Breite 93 cm, Tiefe 27 cm.","geschnitzt, bemalt."
191553,LM-6825,Wagen und Schlitten,Kinderschlitten,"Mit tiefem Kerbschnitt verziert. Vertiefte Buchstaben DBC und Brandstempel. Keine Datumsangabe. 15,5 x 46,5 x 23,5 cm. Holz. ", ,,,,"Höhe 15.5 cm, Länge 46.5 cm, Breite 23.5 cm.",Holz.
8418,LM-6876,Wagen und Schlitten,Kutsche,"Federgestell; gedeckter Kasten mit seitl. halbhohen Türen, sogenannter 'Char de Coté'. 1800 - 1810. ",1800 - 1810  ,,,,,
191643,LM-8245,Wagen und Schlitten,Hochrad,"Sogenanntes 'Velociped'. Datiert 1875. 151 cm. Ø 129,5 cm. Stahl. ",1875,,,,"Höhe 151 cm, Durchmesser 129.5 cm.",Stahl.
191647,LM-8379,Wagen und Schlitten,Fahrrad,"Knabenvelo mit Ledersitz. Räder in der Höhe verstellbar. 1800 - 1900. 55 x 128 cm. Holz, bemalt. ",1800 - 1900  ,,,,"Höhe 55 cm, Breite 128 cm.","Holz, bemalt."
191836,LM-10441,Wagen und Schlitten,Fahrrad,"Mit Zugbremse, Sitz aus Eisen. Herstellung: Bühler Velos. Datiert 1870. 127 x 178 cm. Holz. ",1870,Bühler Velos. ,,,"Höhe 127 cm, Breite 178 cm.",Holz.
191845,LM-10655.1-5,Wagen und Schlitten,Schlittenkasten,Einsitziger Figurenschlitten 'Damenschuh'. Blau und rot bemalt. 1700 - 1800. 147 x 245 x 100 cm. bemalt. ,1700 - 1800  ,,,,"Höhe 147 cm, Länge 245 cm, Breite 100 cm.",bemalt.
191907,LM-11328,Wagen und Schlitten,Fahrrad,"Mit Zugbremse, Sitz aus Leder. Datiert 1841. 137 cm. Holz. ",1841,,,,Höhe 137 cm.,Holz.
192059,LM-13889,Wagen und Schlitten,Schlittenkasten,"Einen liegenden Hirsch darstellend, Kopf mit Geweih. 1750 - 1800. 104 x 178 x 65 x 50 cm. Holz, bemalt, vergoldet. ",1750 - 1800  ,,,,"Höhe 104 cm, Länge 178 cm, Breite 65 cm, Tiefe 50 cm.","Holz, bemalt, vergoldet."
8420,LM-15307,Wagen und Schlitten,Postkutsche,Sogenannter 'Char de Coté'. Vierrädriger Wagen mit Leitergestell und Eisenfedern. Inhalt: Postwesen. 1850 - 1900. Herkunft: Neuenburg (Kanton). ,1850 - 1900  ,,  ,Postwesen. ,,
